id,val
0,0
1,0.06279052
2,0.125333234
3,0.187381315
4,0.248689887
5,0.309016994
6,0.368124553
7,0.425779292
8,0.481753674
9,0.535826795
10,0.587785252
11,0.63742399
12,0.684547106
13,0.728968627
14,0.770513243
15,0.809016994
16,0.844327926
17,0.87630668
18,0.904827052
19,0.929776486
20,0.951056516
21,0.968583161
22,0.982287251
23,0.992114701
24,0.998026728
25,1
26,0.998026728
27,0.992114701
28,0.982287251
29,0.968583161
30,0.951056516
31,0.929776486
32,0.904827052
33,0.87630668
34,0.844327926
35,0.809016994
36,0.770513243
37,0.728968627
38,0.684547106
39,0.63742399
40,0.587785252
41,0.535826795
42,0.481753674
43,0.425779292
44,0.368124553
45,0.309016994
46,0.248689887
47,0.187381315
48,0.125333234
49,0.06279052
50,1.22E-16
51,-0.06279052
52,-0.125333234
53,-0.187381315
54,-0.248689887
55,-0.309016994
56,-0.368124553
57,-0.425779292
58,-0.481753674
59,-0.535826795
60,-0.587785252
61,-0.63742399
62,-0.684547106
63,-0.728968627
64,-0.770513243
65,-0.809016994
66,-0.844327926
67,-0.87630668
68,-0.904827052
69,-0.929776486
70,-0.951056516
71,-0.968583161
72,-0.982287251
73,-0.992114701
74,-0.998026728
75,-1
76,-0.998026728
77,-0.992114701
78,-0.982287251
79,-0.968583161
80,-0.951056516
81,-0.929776486
82,-0.904827052
83,-0.87630668
84,-0.844327926
85,-0.809016994
86,-0.770513243
87,-0.728968627
88,-0.684547106
89,-0.63742399
90,-0.587785252
91,-0.535826795
92,-0.481753674
93,-0.425779292
94,-0.368124553
95,-0.309016994
96,-0.248689887
97,-0.187381315
98,-0.125333234
99,-0.06279052
100,-2.45E-16
101,0.06279052
102,0.125333234
103,0.187381315
104,0.248689887
105,0.309016994
106,0.368124553
107,0.425779292
108,0.481753674
109,0.535826795
110,0.587785252
111,0.63742399
112,0.684547106
113,0.728968627
114,0.770513243
115,0.809016994
116,0.844327926
117,0.87630668
118,0.904827052
119,0.929776486
120,0.951056516
121,0.968583161
122,0.982287251
123,0.992114701
124,0.998026728
125,1
126,0.998026728
127,0.992114701
128,0.982287251
129,0.968583161
130,0.951056516
131,0.929776486
132,0.904827052
133,0.87630668
134,0.844327926
135,0.809016994
136,0.770513243
137,0.728968627
138,0.684547106
139,0.63742399
140,0.587785252
141,0.535826795
142,0.481753674
143,0.425779292
144,0.368124553
145,0.309016994
146,0.248689887
147,0.187381315
148,0.125333234
149,0.06279052
150,3.67E-16
151,-0.06279052
152,-0.125333234
153,-0.187381315
154,-0.248689887
155,-0.309016994
156,-0.368124553
157,-0.425779292
158,-0.481753674
159,-0.535826795
160,-0.587785252
161,-0.63742399
162,-0.684547106
163,-0.728968627
164,-0.770513243
165,-0.809016994
166,-0.844327926
167,-0.87630668
168,-0.904827052
169,-0.929776486
170,-0.951056516
171,-0.968583161
172,-0.982287251
173,-0.992114701
174,-0.998026728
175,-1
176,-0.998026728
177,-0.992114701
178,-0.982287251
179,-0.968583161
180,-0.951056516
181,-0.929776486
182,-0.904827052
183,-0.87630668
184,-0.844327926
185,-0.809016994
186,-0.770513243
187,-0.728968627
188,-0.684547106
189,-0.63742399
190,-0.587785252
191,-0.535826795
192,-0.481753674
193,-0.425779292
194,-0.368124553
195,-0.309016994
196,-0.248689887
197,-0.187381315
198,-0.125333234
199,-0.06279052
200,-4.90E-16
201,0.06279052
202,0.125333234
203,0.187381315
204,0.248689887
205,0.309016994
206,0.368124553
207,0.425779292
208,0.481753674
209,0.535826795
210,0.587785252
211,0.63742399
212,0.684547106
213,0.728968627
214,0.770513243
215,0.809016994
216,0.844327926
217,0.87630668
218,0.904827052
219,0.929776486
220,0.951056516
221,0.968583161
222,0.982287251
223,0.992114701
224,0.998026728
225,1
226,0.998026728
227,0.992114701
228,0.982287251
229,0.968583161
230,0.951056516
231,0.929776486
232,0.904827052
233,0.87630668
234,0.844327926
235,0.809016994
236,0.770513243
237,0.728968627
238,0.684547106
239,0.63742399
240,0.587785252
241,0.535826795
242,0.481753674
243,0.425779292
244,0.368124553
245,0.309016994
246,0.248689887
247,0.187381315
248,0.125333234
249,0.06279052
250,6.12E-16
251,-0.06279052
252,-0.125333234
253,-0.187381315
254,-0.248689887
255,-0.309016994
256,-0.368124553
257,-0.425779292
258,-0.481753674
259,-0.535826795
260,-0.587785252
261,-0.63742399
262,-0.684547106
263,-0.728968627
264,-0.770513243
265,-0.809016994
266,-0.844327926
267,-0.87630668
268,-0.904827052
269,-0.929776486
270,-0.951056516
271,-0.968583161
272,-0.982287251
273,-0.992114701
274,-0.998026728
275,-1
276,-0.998026728
277,-0.992114701
278,-0.982287251
279,-0.968583161
280,-0.951056516
281,-0.929776486
282,-0.904827052
283,-0.87630668
284,-0.844327926
285,-0.809016994
286,-0.770513243
287,-0.728968627
288,-0.684547106
289,-0.63742399
290,-0.587785252
291,-0.535826795
292,-0.481753674
293,-0.425779292
294,-0.368124553
295,-0.309016994
296,-0.248689887
297,-0.187381315
298,-0.125333234
299,-0.06279052
300,-7.35E-16
301,0.06279052
302,0.125333234
303,0.187381315
304,0.248689887
305,0.309016994
306,0.368124553
307,0.425779292
308,0.481753674
309,0.535826795
310,0.587785252
311,0.63742399
312,0.684547106
313,0.728968627
314,0.770513243
315,0.809016994
316,0.844327926
317,0.87630668
318,0.904827052
319,0.929776486
320,0.951056516
321,0.968583161
322,0.982287251
323,0.992114701
324,0.998026728
325,1
326,0.998026728
327,0.992114701
328,0.982287251
329,0.968583161
330,0.951056516
331,0.929776486
332,0.904827052
333,0.87630668
334,0.844327926
335,0.809016994
336,0.770513243
337,0.728968627
338,0.684547106
339,0.63742399
340,0.587785252
341,0.535826795
342,0.481753674
343,0.425779292
344,0.368124553
345,0.309016994
346,0.248689887
347,0.187381315
348,0.125333234
349,0.06279052
350,-2.70E-15
351,-0.06279052
352,-0.125333234
353,-0.187381315
354,-0.248689887
355,-0.309016994
356,-0.368124553
357,-0.425779292
358,-0.481753674
359,-0.535826795
360,-0.587785252
361,-0.63742399
362,-0.684547106
363,-0.728968627
364,-0.770513243
365,-0.809016994
366,-0.844327926
367,-0.87630668
368,-0.904827052
369,-0.929776486
370,-0.951056516
371,-0.968583161
372,-0.982287251
373,-0.992114701
374,-0.998026728
375,-1
376,-0.998026728
377,-0.992114701
378,-0.982287251
379,-0.968583161
380,-0.951056516
381,-0.929776486
382,-0.904827052
383,-0.87630668
384,-0.844327926
385,-0.809016994
386,-0.770513243
387,-0.728968627
388,-0.684547106
389,-0.63742399
390,-0.587785252
391,-0.535826795
392,-0.481753674
393,-0.425779292
394,-0.368124553
395,-0.309016994
396,-0.248689887
397,-0.187381315
398,-0.125333234
399,-0.06279052
400,-9.80E-16
401,0.06279052
402,0.125333234
403,0.187381315
404,0.248689887
405,0.309016994
406,0.368124553
407,0.425779292
408,0.481753674
409,0.535826795
410,0.587785252
411,0.63742399
412,0.684547106
413,0.728968627
414,0.770513243
415,0.809016994
416,0.844327926
417,0.87630668
418,0.904827052
419,0.929776486
420,0.951056516
421,0.968583161
422,0.982287251
423,0.992114701
424,0.998026728
425,1
426,0.998026728
427,0.992114701
428,0.982287251
429,0.968583161
430,0.951056516
431,0.929776486
432,0.904827052
433,0.87630668
434,0.844327926
435,0.809016994
436,0.770513243
437,0.728968627
438,0.684547106
439,0.63742399
440,0.587785252
